Date,Time,Open,High,Low,Close,Volume,Target
2011.11.09,0:00,0.9297,0.9298,0.9201,0.922,102573,0.9250 
2011.11.10,0:00,0.922,0.9281,0.9152,0.9194,105199,0.9217 
2011.11.11,0:00,0.9194,0.9279,0.9157,0.9228,94930,0.9218 
2011.11.14,0:00,0.9278,0.9307,0.9217,0.9264,101682,0.9262 
2011.11.15,0:00,0.9265,0.9333,0.9252,0.9307,106659,0.9293 
2011.11.16,0:00,0.9305,0.9322,0.9254,0.9264,111127,0.9288 
2011.11.17,0:00,0.9264,0.9295,0.9174,0.9216,117205,0.9235 
2011.11.18,0:00,0.9216,0.9225,0.913,0.9168,111336,0.9178 
2011.11.21,0:00,0.9165,0.918,0.8994,0.9023,105388,0.9087 
2011.11.22,0:00,0.9023,0.906,0.8976,0.8986,105138,0.9018 
2011.11.23,0:00,0.8986,0.8994,0.8883,0.8908,103583,0.8939 
2011.11.24,0:00,0.8905,0.8988,0.8899,0.8945,85179,0.8944 
2011.11.25,0:00,0.8945,0.9103,0.8918,0.9017,96954,0.9011 
2011.11.28,0:00,0.9107,0.9174,0.9082,0.9131,100309,0.9128 
2011.11.29,0:00,0.9131,0.9246,0.9112,0.9205,101973,0.9179 
2011.11.30,0:00,0.9205,0.9393,0.9186,0.9387,106025,0.9290 
2011.12.01,0:00,0.9386,0.9391,0.9259,0.9375,101068,0.9325 
2011.12.02,0:00,0.9374,0.9443,0.934,0.9399,91285,0.9392 
2011.12.05,0:00,0.9436,0.9465,0.9403,0.9448,94379,0.9434 
2011.12.06,0:00,0.9449,0.9502,0.9382,0.9481,98116,0.9442 
2011.12.07,0:00,0.9482,0.9532,0.947,0.9502,91318,0.9501 
2011.12.08,0:00,0.9501,0.9532,0.9395,0.9408,98040,0.9464 
2011.12.09,0:00,0.9409,0.9456,0.9311,0.9418,100431,0.9384 
2011.12.12,0:00,0.9443,0.945,0.9382,0.9437,94933,0.9416 
2011.12.13,0:00,0.9436,0.9507,0.9412,0.9467,99954,0.9460 
2011.12.14,0:00,0.9467,0.9482,0.9407,0.9445,105453,0.9445 
2011.12.15,0:00,0.9445,0.9451,0.9313,0.9321,101359,0.9382 
2011.12.16,0:00,0.9321,0.9398,0.9314,0.9339,91955,0.9356 
2011.12.19,0:00,0.9349,0.935,0.926,0.9272,94934,0.9305 
2011.12.20,0:00,0.9271,0.939,0.926,0.9388,92623,0.9325 
2011.12.21,0:00,0.9388,0.9466,0.9367,0.945,99227,0.9417 
2011.12.22,0:00,0.9449,0.9503,0.9416,0.9477,86970,0.9460 
2011.12.23,0:00,0.9477,0.9528,0.9468,0.9491,69105,0.9498 
2011.12.26,0:00,0.9515,0.9527,0.9481,0.9515,24560,0.9504 
2011.12.27,0:00,0.952,0.952,0.9465,0.9482,65489,0.9493 
2011.12.28,0:00,0.9482,0.955,0.947,0.951,77489,0.9510 
